text,label
Здравствуйте я уезжаю в Алматы как я могу подключить роуминг,Мобильные услуги
тариф для разговора,тарифы - подбор
тариф для звонков ,мобильная связь - тарифы
Как сменить номер.,SIM-карта и номер
Новый тарифы есть,мобильная связь - тарифы
Информации тариф,мобильная связь - тарифы
тарифы,мобильная связь - тарифы
Все тарифный план покажи,тарифы - подбор
Все тарифный план покажи,тарифы - подбор
Безлимитный интернет ,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
Какие тарифы есть для интернета,тарифы - подбор
«тариф»,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Есть хорошие тарифы для интернета,мобильная связь - тарифы
мне интересует тариф на месяц ,мобильная связь - тарифы
мне тариф на месяц,мобильная связь - тарифы
Перевод денег на другой номер,Оплата
У меня тариф какой,FAQ - тарифы и услуги
Как проверить остатки трафика,Баланс
Ха держать Интернет 2G за что я вам плачу а?,FAQ - интернет
тарифы для звонков внутри сети,FAQ - интернет
тариф,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
Низкая скорест,Мобильный интернет
У меня какой тариф,FAQ - тарифы и услуги
как можно проверить 10 изменений в балансе,Баланс
я меня сколько единица ест,Баланс
Проверка тарифа,FAQ - тарифы и услуги
тариф месяц безлимитный интернет,мобильная связь - тарифы
тариф тоже,Мобильные услуги
У меня тариф о а почему я должна еще подключаться,FAQ - тарифы и услуги
"Можете поменять, днем безлимитный траффик а днем 4 гб?",мобильная связь - тарифы
Ночную тарифу можно менять?,мобильная связь - тарифы
Проверка расходов,Баланс
Как отправить смс с данного приложения,Мобильные услуги
тарифы для интернета,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
тариф,мобильная связь - тарифы
Здравствуйте! Как узнать номер телефона?,SIM-карта и номер
Хочешь парня ,Мобильные услуги
Спасибо,запрос обратной связи
У меня сколько мелодия в званке,Мобильные услуги
Как можно использовать доп баланс?,Баланс
Ладно тогда какой тариф выгодно подключить,тарифы - подбор
Для интернета и звонков,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
А мой тариф какой,FAQ - тарифы и услуги
Как происходит детализация ,Баланс
Пришло сообщение что будет предоставлен интернет пакет 3гб если закинуть 200 сом. Закинул. А интернет пакет не дали,Баланс
Сколько у Меня единицы,Баланс
Почему интернет долго крутится,мобильная связь - тарифы
Есть ли тариф только с интернетом ?,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
Куда пропал мой баланс ?,Баланс
Как перевести средства ,Оплата
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
тарифы без абонентской платы,тарифы - подбор
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
тарифы без абонентской платы,тарифы - подбор
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
для интернет и звонит,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
тарифы без абонентской платы,тарифы - подбор
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
тарифы без абонентской платы,тарифы - подбор
тарифы без абонентской платы,тарифы - подбор
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Для интернета и звонков,мобильная связь - тарифы
Какой у меня тариф ? ,FAQ - тарифы и услуги
Не могу получить интернет настройки ,FAQ - интернет
тариф,Мобильные услуги
Могу я менять тариф,мобильная связь - тарифы
Есть тариф,мобильная связь - тарифы
Хочу узнать подробнее о тариф,FAQ - тарифы и услуги
тариф,мобильная связь - тарифы
Переадресация,Мобильные услуги
остаток мегабайт как узнать,Баланс
на коропоративном номере как проверить баланс?,Баланс
Ты дашь мне свой номер,SIM-карта и номер
Баланс кг работает или нет.,Мобильные услуги
ручной настойки интернетта,FAQ - интернет
Хочу посмотреть все действующие тарифы для интернета,мобильная связь - тарифы
Для интернета,мобильная связь - тарифы
"можно купить сим карты, действующие в россии?",SIM-карта и номер
Хочу заказать звонок ,запрос обратной связи
Как мне узнать дополнитьльный баланс,Баланс
"Здравствуйте, как активировать сим карту?",SIM-карта и номер
Ну тогда тариф?,мобильная связь - тарифы
Что такое бесплатное интернет вне пакета?,FAQ - интернет
Добрый день как я могу узнать свой тарифный план,FAQ - тарифы и услуги
"я потеряла сим карту, как я могу ее востановить с моим прежним номером?",SIM-карта и номер
Как узнать свой тариф,FAQ - тарифы и услуги
услуга я нахожусь в Казахстане мне необходимо подключить роуминг,Роуминг
Как подключить роуминг не имея доступа к номеру,Роуминг
как узнать свой тариф,FAQ - тарифы и услуги
код для проверки свободности номера,SIM-карта и номер
Как перейти на тариф,мобильная связь - тарифы
Я оплатил через баланс свой интернет ,мобильная связь - тарифы
Как подключить тариф,мобильная связь - тарифы
Здравствуйте у меня тариф,мобильная связь - тарифы
В тарифе интернет безлимитный?,мобильная связь - тарифы
тариф,мобильная связь - тарифы
для звонков,мобильная связь - тарифы
могу ли я восстановить симку если не пользовался год?,SIM-карта и номер
тариф,мобильная связь - тарифы
Как оплатить услуги связи онлайн ,Оплата
тариф,мобильная связь - тарифы
тариф а не тариф,мобильная связь - тарифы
тариф,мобильная связь - тарифы
тарифы м интернетом,мобильная связь - тарифы
Как узнать свой номер ,SIM-карта и номер
Как получить доверительный платеж?,Мобильные услуги
Оставить жалобу хочу,запрос обратной связи
"Постоянно появляется услуга. Отправлял стоп, но не ПОМОГАЕТ ",Мобильные услуги
"Отправлял стоп на услуга, всё равно постоянно высвечивается услуга",Мобильные услуги
почему сим карта не работает?,SIM-карта и номер
Как запросить автоматические настройки интернета ,Мобильный интернет
Жалобу,запрос обратной связи
тариф,мобильная связь - тарифы
вне тарифа,мобильная связь - тарифы
Как называется ваш тариф?,FAQ - тарифы и услуги
Оставить жалобу,запрос обратной связи
"Здравствуйте, поможете подобрать какой нибудь тариф для интернета, не совсем дорогой",мобильная связь - тарифы
То есть симку сегодня приобрела ,SIM-карта и номер
Как узнать подключить интернет? Можно комбинации,Мобильный интернет
Настройки на интернет,Мобильный интернет
тарифы для интернета ,мобильная связь - тарифы
тариф,Мобильные услуги
дайте комманду на тариф я не могу найтит комманду,мобильная связь - тарифы
Здравствуйте хочу подключить тариф,мобильная связь - тарифы
Узнать свой тариф,FAQ - тарифы и услуги
Есть контакты,Мобильные услуги
Все,мобильная связь - тарифы
Дополнительный баланс,Баланс
Заказать звонок ,запрос обратной связи
как можно поменять номер,SIM-карта и номер
тариф,мобильная связь - тарифы
как сменить номер,SIM-карта и номер
тариф,мобильная связь - тарифы
Как подключить тариф,мобильная связь - тарифы
Этот тариф безобонплаты,мобильная связь - тарифы
Подроб информ о тарифе,мобильная связь - тарифы
тариф,мобильная связь - тарифы
Как настроить интернет?,Мобильный интернет
У вас тариф интернета на 200 Гб  и больше в месяц ,мобильная связь - тарифы
Как мне подключить мобильные данные?,Мобильный интернет
Как мне подключить мобильные данные?,Мобильный интернет
"добрый день. вопрос такой, у меня есть номер с тарифом могу ли я перенести этот тариф на другой свой номер?",мобильная связь - тарифы
тариф,мобильная связь - тарифы
Как подключить тариф на неделю,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
как атправит смс,Мобильные услуги
Как перейти на тариф,мобильная связь - тарифы
Как узнать свой интернет тариф?,FAQ - тарифы и услуги
вне сети сколько единиц уходит,Баланс
"Я подключила тариф, но у меня нет пакета",мобильная связь - тарифы
настройки интернет,Мобильный интернет
настройки интернет,Мобильный интернет
Как узнать свой тариф,FAQ - тарифы и услуги
когда закончится мой тарифный план,тарифы - подбор
Как отключить тариф в неделю 4гб,FAQ - тарифы и услуги
Как подключить тариф,мобильная связь - тарифы
Как отключить тариф ,FAQ - тарифы и услуги
«тариф»,мобильная связь - тарифы
Мне тариф нужен отключить ,FAQ - тарифы и услуги
Мне нужно отключить тариф ! Переключаться не надо ! Надо отключить ,FAQ - тарифы и услуги
Как можно переходит услуга в неделю,мобильная связь - тарифы
Как узнать остаток мб если я обменял свои баллы на мб по программе биилайн бонус ,Баланс
Подскажите выгодный тариф для звонков и интпрнета,тарифы - подбор
Подробнее о тариф,мобильная связь - тарифы
тариф,мобильная связь - тарифы
мобильный перевод ,Оплата
Меню оператор,Мобильные услуги
Как узнать о пополнении баланса на этом месяце,Баланс
 Как подключить тариф,мобильная связь - тарифы
Слушайте и ваша компания так как все остальные! Дохлый интернет,мобильная связь - тарифы
Мой тариф,FAQ - тарифы и услуги
Мой баланс,Баланс
тариф для интернета,мобильная связь - тарифы
Как  перекинуть единицы,Оплата
Как активировать дополнительный баланс,Баланс
Как подключить тариф ,мобильная связь - тарифы
Как воспользоваться услугой мобильный перевод,Оплата
Как можно подключиться услугав тарифа,тарифы - подбор
У вас есть тарифы на месяц,мобильная связь - тарифы
Интернет тарифы,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
У вас есть тариф,мобильная связь - тарифы
тариф здесь сказали,мобильная связь - тарифы
Как узнать свой тариф,FAQ - тарифы и услуги
существует ли тарифы как покупка интернет гигабайтов без лимита на дату,FAQ - тарифы и услуги
Как вас зовут ,запрос обратной связи
Мы можем общаться с вами ,Устройства
тариф Модем для корпоративных клиентов,мобильная связь - тарифы
Интернет Досихпор низким ,мобильная связь - тарифы
Дайте ссылку на мобильное приложение лети киджи,Личный кабинет
 ссылку на мобильное приложение лети киджи,Личный кабинет
Как пользоваться дополнительным балансом?,Баланс
Интернет тарифы и пакеты ,мобильная связь - тарифы
Подключение мобильного интернета,Мобильный интернет
Вы сможете мне отправить коды тарифа 'тариф',мобильная связь - тарифы
тариф на 4g представляется,мобильная связь - тарифы
Как я могу получить симкарту ,SIM-карта и номер
тарифы интернет,мобильная связь - тарифы
Про новый тариф,мобильная связь - тарифы
С интернетом и с телевидением,мобильная связь - тарифы
Какой-то новый тариф,мобильная связь - тарифы
можно подключить доверительный платеж онлайн,Мобильные услуги
тариф,мобильная связь - тарифы
А как надо номер поменять комбинация какая,SIM-карта и номер
У меня пропал баланс,Баланс
я нахожусь заграницей и забыл свой номер,SIM-карта и номер
как проверить остатки мб,Баланс
«услуга»,Мобильные услуги
услуга Скажи пожалуйста какие тариф душевую для интернета,мобильная связь - тарифы
тариф за месяц сколько стоит,мобильная связь - тарифы
Есть ещё тариф? ,тарифы - подбор
Интернетсколькостлит,мобильная связь - тарифы
Как подключить/отключить роуминг? ,Мобильные услуги
Как отключиться от тарифа,FAQ - тарифы и услуги
Что такое дополнительный баланс ,Баланс
Какой мой тариф,FAQ - тарифы и услуги
Как перейти на тариф за тариф,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
Как подключит скрытой номер,Мобильные услуги
Мой тариф какой,FAQ - тарифы и услуги
Как оплачивать гугл плэй,Личный кабинет
Свободен номер,SIM-карта и номер
Как сделать номер скрытым?,FAQ - тарифы и услуги
Как сменить номер.,SIM-карта и номер
Насройки интернета,Мобильный интернет
тариф ,мобильная связь - тарифы
Добрый день первая смена номера платная или нет,FAQ - тарифы и услуги
 Какой тариф у меня ,FAQ - тарифы и услуги
Услугу,Мобильные услуги
тарифы без абонентской платы,тарифы - подбор
Популярные тарифы,мобильная связь - тарифы
Ранше у меня был тариф. Сейчас можно востанвить,FAQ - тарифы и услуги
«тариф»,мобильная связь - тарифы
Добрый ден! Как мне подключить услугу,Мобильные услуги
Как проверить свободный номер,SIM-карта и номер
Интернет,мобильная связь - тарифы
Куда пропали мои деньги,Баланс
Куда пропали мои деньги,Баланс
Сколько мегабайт у меня.,Баланс
выгодный интернет тариф посоветуйте ,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
 не могу понять сколько мб осталось у меня,Баланс
тариф,мобильная связь - тарифы
"Здравствуйте услуга,! На что можно потратить доп баланс? Можно ли перевести на основн",Баланс
Я хочу возобновить тарифный план,тарифы - подбор
Как вожно перейти на сайт,мобильная связь - тарифы
тариф,FAQ - интернет
пакет бесплатных минут внутри сети оператор,FAQ - интернет
«тариф»,мобильная связь - тарифы
услуга,мобильная связь - тарифы
тариф,мобильная связь - тарифы
тариф,мобильная связь - тарифы
Здраствуйте. У меня сейчас тариф . Закончился мб нв 4G. Можно подключить дополнительно для 4 G,FAQ - тарифы и услуги
сколько стоит карманный вайфай роутер от оператора?,Мобильные услуги
Интернет услуги,Мобильные услуги
Интернет услуги,Мобильные услуги
Сколько на моем тарифе стоит звонок в Россию на стационарный номер телефона?,FAQ - тарифы и услуги
У меня есть долг а я как плачу,Мобильные услуги
Пин пук у меня нет,SIM-карта и номер
тарификация международных звонков,FAQ - тарифы и услуги
Настройка интернета,Мобильный интернет
тариф какой?,FAQ - тарифы и услуги
Любимые номера,Мобильные услуги
Мобильный перевод ,Оплата
Я могу закинуть денги на карточку ,Оплата
Проверка остатка пакетов,Баланс
на таджикистан толко одного номера оператор с кыргызмтан звонок песплатно можно делать?,FAQ - тарифы и услуги
Как перейти на тариф,мобильная связь - тарифы
Отправьте настройки для интернета,FAQ - интернет
Почему у меня не снимают деньги за недельный интернет,Баланс
Какие доп услуг. Есть в этом номере-,Мобильные услуги
Услуги для развлечений,Мобильные услуги
Как отключить 1гб интернета,Мобильный интернет
тарифы интернет,мобильная связь - тарифы
тарифы без абонентской платы,тарифы - подбор
Для интернета и звонков,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
Интернет тарифы,мобильная связь - тарифы
Как получить доверительный платеж,Мобильные услуги
тариф,мобильная связь - тарифы
У меня 4G горит говорят что сервисы переполнены я не могу заходить в интернет в научное время,FAQ - интернет
Когда мой будет даступен интернет на мой район? ,мобильная связь - тарифы
Перевод единиц,Оплата
что за тариф,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
Сколько у м еня осталось мб?,Баланс
Мой тарифный план,FAQ - тарифы и услуги
Как проверить остальной трафик ,Баланс
сколько стоит минута на таджикистан в тариф,мобильная связь - тарифы
тарифы,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
Популярные тарифы,мобильная связь - тарифы
Популярные тарифы,мобильная связь - тарифы
Недельные тарифы,FAQ - интернет
тариф ,мобильная связь - тарифы
пакет бесплатных минут внутри сети оператор,FAQ - интернет
как проверить номер ,SIM-карта и номер
тарифс неделью информация,FAQ - интернет
«тариф»,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
Детализация звонков,Баланс
Для интернета и звонков,мобильная связь - тарифы
В каком тарифе без лимит в соцсетях,FAQ - тарифы и услуги
Как долг просит,Мобильные услуги
Почему интернет у меня сбоями работаеть ?,мобильная связь - тарифы
Интернет услуги,Мобильные услуги
Интернет услуги,Мобильные услуги
Интернет тарифы,мобильная связь - тарифы
Интернет тарифы,мобильная связь - тарифы
Да есть симкарта не работает на моём телефоне написана нет сигнала ,SIM-карта и номер
Если я устоновлю вместо гудка мелодию то скока единицы я должна буду платить ,Мобильные услуги
Почему ограничена скорость на безлимит в одноклассниках?,Мобильный интернет
Как бесплатно сделат скрити номер ,SIM-карта и номер
Что делать чтобы мне перевели деньги,Оплата
Мне что скачать баланс кж,Мобильные услуги
Как подсоединить новый номер и что за это будет,SIM-карта и номер
«тариф»,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
Как узнать свой тариф,FAQ - тарифы и услуги
Здравствуйте! Как активировать сим карту?,SIM-карта и номер
Какие тарифы можешь посоветовать?,FAQ - тарифы и услуги
Автоплатеж,Мобильные услуги
Как перейти на тариф,мобильная связь - тарифы
 Доп баланс 100с как понять это,Баланс
«тариф»,мобильная связь - тарифы
Проверить тп,FAQ - тарифы и услуги
У меня номер с начала недели 7гб был 2 недели 4гб,SIM-карта и номер
Что за тариф?,мобильная связь - тарифы
У меня щас на балансе 0 сом,Баланс
«тариф»,мобильная связь - тарифы
Сколько у меня осталось гб?,Баланс
Нет я вас удаляю.,Баланс
У меня тарифное план без лимитный был сейчас 4 гегабайт показивает?,FAQ - тарифы и услуги
Будет ли у меня безлимитный интернет после 1:00,мобильная связь - тарифы
как проверит баланс,Баланс
Во сколько тариф начнется,FAQ - тарифы и услуги
Пополни баланс по братски,Баланс
Баланса нет,Баланс
Услуга,Мобильные услуги
Можно спросить  научился ли тариф и могу ли я им пользоваться и до скольки,FAQ - тарифы и услуги
Я сейчас использовайу интернет вилайном,мобильная связь - тарифы
Почему у меня отнимаются единицы ,Баланс
У меня тариф почему уходят еденицы,Баланс
Мой тариф ,FAQ - тарифы и услуги
Для чего могу использовать дополнительные баланс,Баланс
Могу купить интернет дополнительные баланса,Баланс
Ну роуминга на моем тарифе нет кажется если есть то можно это проверить,Баланс
Почему уходят единицы у меня не работает тариф,Баланс
Уходят единицы,Баланс
«тариф»,Мобильные услуги
Интернет?,мобильная связь - тарифы
Как изменить свой номер ,SIM-карта и номер
Почему у меня ночюсьедает единицы хотя подключен тариф,Баланс
Что за тариф у меня,мобильная связь - тарифы
Популярные тарифы,мобильная связь - тарифы
Как позванить дешевле на россию,FAQ - тарифы и услуги
"Здравствуйте, услуга. Установите,пожалуйста, 4G в ",Мобильный интернет
Сделайте 4G в Апкане!!!!,мобильная связь - зона обслуживания
Как отключить все платные услуги,FAQ - тарифы и услуги
Как отключить тариф?,FAQ - тарифы и услуги
интернета нета,мобильная связь - тарифы
у меня нет интернета,Мобильные услуги
Ручные настройки,FAQ - интернет
Загрузила единицы а мне говорят что недостаточно денег для абонентской платы,Баланс
я хотел поменять тарифный план,FAQ - тарифы и услуги
Как отключить тариф и перейти все за 100,мобильная связь - тарифы
Сериалы,Мобильные услуги
«тариф»,мобильная связь - тарифы
У вас есть такая модель,Устройства
Подключить интернет роуминг,Роуминг
настройки не приходят,Мобильный интернет
тариф,мобильная связь - тарифы
"подскажите, как узнать свой баланс",Баланс
Я хотела узнать  о тарифе которые подключиться  тарифна неделю ,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
тариф,мобильная связь - тарифы
тариф,мобильная связь - тарифы
«тариф»,мобильная связь - тарифы
тарифы,мобильная связь - тарифы
как узнать свой номер,SIM-карта и номер
"я слышал что компания может предоставить услуги по смс рассылки, это так?",Мобильные услуги
"Как пополнить баланс на телефоне в Кыргызтан, будучи в Москве?",Баланс
Как пополнить баланс по банковской карте,Оплата
Как я могу отключить музыку в место гудка,Мобильные услуги
добрый день можно телефон службы поддержки,Мобильный интернет
